"ACCESSIBLE","ID","LAT","LNG","NAME"
"TRUE","1","-7.138840","-34.850981","Portão Principal"
"TRUE","2","-7.140655","-34.849680","CCHLA"
"TRUE","3","-7.141219","-34.850395","CCSA"
"TRUE","4","-7.135149","-34.841878","CCS"
"TRUE","5","-7.135533","-34.841683","CCS"
"TRUE","6","-7.136397","-34.841865","CCS"
"TRUE","7","-7.136306","-34.842551","CCS"
"TRUE","8","-7.136378","-34.842513","CCS"
"VERDADEIRO","9","-7.136579722987040","-34.84062369965110","CCM"
"VERDADEIRO","10","-7.140337","-34.845266","CCEN"
"VERDADEIRO","11","-7.139714","-34.845487","CCEN"
"VERDADEIRO","12","-7.139557","-34.845484","CCEN"
"VERDADEIRO","13","-7.139082","-34.845537","CCEN"
"VERDADEIRO","14","-7.138464","-34.845580","CCEN"
"VERDADEIRO","15","-7.138163","-34.845674","CCEN"
"VERDADEIRO","16","-7.137340","-34.845682","CCEN"
"VERDADEIRO","17","-7.137129","-34.845712","CCEN"
"VERDADEIRO","18","-7.137587","-34.847446","C.VIVENCIAS"
"VERDADEIRO","19","-7.138018","-34.847854","C.VIVENCIAS"
"VERDADEIRO","20","-7.138053","-34.847990","C.VIVENCIAS"
"VERDADEIRO","21","-7.138092","-34.848042","C.VIVENCIAS"
"VERDADEIRO","22","-7.136642","-34.848224","C.VIVENCIAS"
"VERDADEIRO","23","-7.1385120","-34.8500406","CCTA - Bloco E"
"VERDADEIRO","24","-7.1385746","-34.8497060","CCTA - Parada de Ônibus"
"VERDADEIRO","25","-7.1373986","-34.8504044","CCTA"
"VERDADEIRO","26","-7.1372226","-34.8499538","CCTA"
"VERDADEIRO","27","-7.1373666","-34.8499005","CCTA"
"VERDADEIRO","28","-7.1376524","-34.8499424","CCTA"
"VERDADEIRO","29","-7.1376191","-34.8498214","CCTA"
"VERDADEIRO","30","-7.1380273","-34.8498683","CCTA"
"VERDADEIRO","31","-7.1381241","-34.8496363","CCTA"
